Time,E,EMax,P,PMax,PForced,Agility
1,0.0,4.763117,0.0,0.775498,0.0,92.8579893178319
2,0.0,4.763117,0.0,0.775498,0.0,91.8579893178319
3,0.0,4.763117,0.0,0.775498,0.0,90.8579893178319
4,0.0,4.763117,0.0,0.775498,0.0,89.8579893178319
5,0.0,4.763117,0.0,0.775498,0.0,88.8579893178319
6,0.0,4.763117,0.0,0.775498,0.0,87.8579893178319
7,0.0,4.763117,0.0,0.775498,0.0,86.8579893178319
8,0.0,4.763117,0.0,0.775498,0.0,85.8579893178319
9,0.0,4.763117,0.0,0.775498,0.0,84.8579893178319
10,0.0,4.763117,0.0,0.775498,0.0,83.8579893178319
11,0.0,4.763117,0.0,0.775498,0.0,82.8579893178319
12,0.0,4.763117,0.0,0.775498,0.0,81.8579893178319
13,0.0,4.763117,0.0,0.775498,0.0,80.8579893178319
14,0.0,4.763117,0.0,0.775498,0.0,79.8579893178319
15,0.0,4.763117,0.0,0.775498,0.0,78.8579893178319
16,0.0,4.763117,0.0,0.775498,0.0,77.8579893178319
17,0.0,4.763117,0.0,0.775498,0.0,76.8579893178319
18,0.0,4.763117,0.0,0.775498,0.0,75.8579893178319
19,0.0,4.763117,0.0,0.775498,0.0,74.8579893178319
20,0.0,4.763117,0.0,0.775498,0.0,73.8579893178319
21,0.0,4.763117,0.0,0.775498,0.0,72.8579893178319
22,0.0,4.763117,0.0,0.775498,0.0,71.8579893178319
23,0.0,4.763117,0.0,0.775498,0.0,70.8579893178319
24,0.0,4.763117,0.0,0.775498,0.0,69.8579893178319
25,0.0,4.763117,0.0,0.775498,0.0,68.8579893178319
26,0.0,4.763117,0.0,0.775498,0.0,67.8579893178319
27,0.0,4.763117,0.0,0.775498,0.0,66.8579893178319
28,0.0,4.763117,0.0,0.775498,0.0,65.8579893178319
29,0.0,4.763117,0.0,0.775498,0.0,64.8579893178319
30,0.0,4.763117,0.0,0.775498,0.0,63.857989317831894
31,0.0,4.763117,0.0,0.775498,0.0,62.857989317831894
32,0.0,4.763117,0.5730179999999994,0.775498,0.0,61.857989317831894
33,0.5730179999999994,4.763117,0.0,0.775498,0.0,61.59689257741477
34,0.5730179999999994,4.763117,0.0,0.775498,0.0,60.59689257741477
